Test Case,Response Code,Latency (seconds)
0,200,0.7013580799102783
1,200,0.4098830223083496
2,200,0.3214988708496094
3,200,0.24868202209472656
0,200,0.23220014572143555
1,200,0.19626116752624512
2,200,0.22785305976867676
3,200,0.19307708740234375
0,200,0.2059011459350586
1,200,0.21982908248901367
2,200,0.18688201904296875
3,200,0.24733591079711914
0,200,0.21939921379089355
1,200,0.3239617347717285
2,200,0.24106693267822266
3,200,0.15134215354919434
0,200,0.15972614288330078
1,200,0.17410993576049805
2,200,0.18797087669372559
3,200,0.19498085975646973
0,200,0.19208192825317383
1,200,0.1968860626220703
2,200,0.1421806812286377
3,200,0.1611008644104004
0,200,0.16777396202087402
1,200,0.1815941333770752
2,200,0.19215798377990723
3,200,0.1537332534790039
0,200,0.23485183715820312
1,200,0.3300962448120117
2,200,0.4592421054840088
3,200,0.19972515106201172
0,200,0.17439484596252441
1,200,0.3499438762664795
2,200,0.33809995651245117
3,200,0.28066325187683105
0,200,0.5880892276763916
1,200,1.1650350093841553
2,200,0.9078609943389893
3,200,0.3869059085845947
0,200,0.40781497955322266
1,200,0.365825891494751
2,200,0.3347280025482178
3,200,0.23406100273132324
0,200,0.36875200271606445
1,200,0.27295899391174316
2,200,0.25522708892822266
3,200,0.24945783615112305
0,200,0.25078511238098145
1,200,0.35045599937438965
2,200,0.2403547763824463
3,200,0.23099899291992188
0,200,0.24881196022033691
1,200,0.2130138874053955
2,200,0.16497397422790527
3,200,0.17117905616760254
0,200,0.17540597915649414
1,200,0.17492294311523438
2,200,0.2793300151824951
3,200,0.1737508773803711
0,200,0.3991739749908447
1,200,0.27779388427734375
2,200,0.27846789360046387
3,200,0.2472219467163086
0,200,0.26324892044067383
1,200,0.24082684516906738
2,200,0.2699408531188965
3,200,0.32025718688964844
0,200,0.3610799312591553
1,200,0.23774218559265137
2,200,0.2613868713378906
3,200,0.3065469264984131
0,200,0.371262788772583
1,200,0.5708861351013184
2,200,0.38966989517211914
3,200,0.31938672065734863
0,200,0.36363697052001953
1,200,0.36881303787231445
2,200,0.17771005630493164
3,200,0.30106592178344727
0,200,0.22234678268432617
1,200,0.18643999099731445
2,200,0.2862741947174072
3,200,0.2062070369720459
0,200,0.3365488052368164
1,200,0.3577258586883545
2,200,0.3475179672241211
3,200,0.3633890151977539
0,200,0.3492763042449951
1,200,0.28676605224609375
2,200,0.22748112678527832
3,200,0.1986687183380127
0,200,0.17489171028137207
1,200,0.24420595169067383
2,200,0.2099461555480957
3,200,0.19967412948608398
0,200,0.1981518268585205
1,200,0.21003127098083496
2,200,0.187178373336792
3,200,0.23663902282714844
0,200,0.1850299835205078
1,200,0.20363593101501465
2,200,0.1889810562133789
3,200,0.1758251190185547
0,200,0.23009371757507324
1,200,0.29018497467041016
2,200,0.24136686325073242
3,200,0.2506449222564697
0,200,0.19880104064941406
1,200,0.3422219753265381
2,200,0.23726701736450195
3,200,0.16681599617004395
0,200,0.19731998443603516
1,200,0.223524808883667
2,200,0.21896696090698242
3,200,0.24501800537109375
0,200,0.19319987297058105
1,200,0.20494508743286133
2,200,0.24811625480651855
3,200,0.25877881050109863
0,200,0.244354248046875
1,200,0.25821590423583984
2,200,0.2656831741333008
3,200,0.260530948638916
0,200,0.24777698516845703
1,200,0.20323419570922852
2,200,0.24507784843444824
3,200,0.2759222984313965
0,200,0.23421692848205566
1,200,0.26094985008239746
2,200,0.3153848648071289
3,200,0.47794485092163086
0,200,0.17012715339660645
1,200,0.4470808506011963
2,200,0.29262328147888184
3,200,0.22561907768249512
0,200,0.34372997283935547
1,200,0.2348041534423828
2,200,0.21389985084533691
3,200,0.3169240951538086
0,200,0.24544382095336914
1,200,0.1729750633239746
2,200,0.15809392929077148
3,200,0.18272066116333008
0,200,0.20239472389221191
1,200,0.20433473587036133
2,200,0.1589648723602295
3,200,0.2270030975341797
0,200,0.287045955657959
1,200,0.11858701705932617
2,200,0.1514267921447754
3,200,0.14239096641540527
0,200,0.18535494804382324
1,200,0.2081296443939209
2,200,0.19378304481506348
3,200,0.17993426322937012
0,200,0.21601510047912598
1,200,0.15399980545043945
2,200,0.16067075729370117
3,200,0.25594496726989746
0,200,0.19850921630859375
1,200,0.15992188453674316
2,200,0.16658306121826172
3,200,0.1790628433227539
0,200,0.17086219787597656
1,200,0.18313980102539062
2,200,0.13192296028137207
3,200,0.17097187042236328
0,200,0.12335991859436035
1,200,0.1846630573272705
2,200,0.16793131828308105
3,200,0.37044405937194824
0,200,0.35790109634399414
1,200,0.36189913749694824
2,200,0.3628361225128174
3,200,0.39568090438842773
0,200,0.2025740146636963
1,200,0.2051408290863037
2,200,0.1406419277191162
3,200,0.12774085998535156
0,200,0.15095210075378418
1,200,0.19481801986694336
2,200,0.14764690399169922
3,200,0.15917181968688965
0,200,0.26371002197265625
1,200,0.2542910575866699
2,200,0.16884803771972656
3,200,0.27828383445739746
0,200,0.1849370002746582
1,200,0.19497013092041016
2,200,0.20317387580871582
3,200,0.16199016571044922
0,200,0.14607787132263184
1,200,0.1337289810180664
2,200,0.17617511749267578
3,200,0.17016816139221191
0,200,0.18596601486206055
1,200,0.1739199161529541
2,200,0.1477220058441162
